type,WF1 vs WF2 AMR,WF1 vs WF2 ARG-ANNOT,WF1 vs WF2 CARD,WF1 vs WF2 Resfinder,WF1 vs WF3,WF1 vs WF4
blaCTX-M-137,-1,0,0,-1,0,0
blaCTX-M-27,0,1,1,1,1,0
blaIMP-4,0,1,1,1,1,0
blaKPC-2,0,1,1,1,1,0
blaKPC-2_1,0,0,0,-1,0,0
blaSHV-1,1,1,1,1,1,1
blaSHV-11,1,1,1,1,1,1
blaSHV-158,-1,0,0,-1,0,0
blaSHV-159,-1,0,0,-1,0,0
blaSHV-182,-1,0,0,-1,0,-1
blaSHV-206,-1,0,0,0,0,0
blaSHV-207,-1,0,0,0,0,0
blaSHV-33,-1,-1,0,-1,0,-1
blaTEM-1,0,1,1,1,1,1
blaTEM-105,0,-1,0,0,0,0
blaTEM-127,0,-1,0,0,0,0
blaTEM-143,0,-1,0,0,0,0
blaTEM-148,0,-1,0,0,0,0
blaTEM-166,0,-1,0,0,0,0
blaTEM-176,0,-1,0,0,0,0
blaTEM-186,0,-1,0,0,0,0
blaTEM-198,0,-1,0,0,0,0
blaTEM-1B,0,0,0,-1,0,-1
blaTEM-206,0,-1,0,0,0,0
blaTEM-207,0,-1,0,0,0,0
blaTEM-208,0,-1,0,0,0,0
blaTEM-214,0,-1,0,0,0,0
blaTEM-215,0,-1,0,0,0,0
blaTEM-217,0,-1,0,0,0,0
blaTEM-30,0,-1,0,0,0,0
blaTEM-33,0,-1,0,0,0,0
blaTEM-34,0,-1,0,0,0,0
blaTEM-70,0,-1,0,0,0,0
blaTEM-76,0,-1,0,0,0,0
blaTEM-95,0,-1,0,0,0,0
CTX-M-27,0,0,-1,0,-1,0
SHV-1,0,0,0,0,-1,0
SHV-11,0,0,0,0,-1,0
SHV-182,0,0,-1,0,0,0
SHV-206,0,0,-1,0,0,0
SHV-207,0,0,-1,0,0,0
SHV-33,0,0,-1,0,0,0
TEM-1,0,0,-1,0,-1,0
TEM-103,0,0,-1,0,0,0
TEM-105,0,0,-1,0,0,0
TEM-127,0,0,-1,0,0,0
TEM-128,0,0,-1,0,0,0
TEM-135,0,0,-1,0,0,0
TEM-143,0,0,-1,0,0,0
TEM-148,0,0,-1,0,0,0
TEM-166,0,0,-1,0,0,0
TEM-176,0,0,-1,0,0,0
TEM-186,0,0,-1,0,0,0
TEM-198,0,0,-1,0,0,0
TEM-206,0,0,-1,0,0,0
TEM-207,0,0,-1,0,0,0
TEM-208,0,0,-1,0,0,0
TEM-214,0,0,-1,0,0,0
TEM-215,0,0,-1,0,0,0
TEM-217,0,0,-1,0,0,0
TEM-228,0,0,-1,0,0,0
TEM-234,0,0,-1,0,0,0
TEM-245,0,0,-1,0,0,0
TEM-30,0,0,-1,0,0,0
TEM-31,0,0,-1,0,0,0
TEM-33,0,0,-1,0,0,0
TEM-34,0,0,-1,0,0,0
TEM-70,0,0,-1,0,0,0
TEM-76,0,0,-1,0,0,0
TEM-95,0,0,-1,0,0,0